Frequency,Offset,Tone,Call,Location,ST/PR,Use,Mode,Mi,Dir,Operational status
442.875,+5 MHz,123,K4SV,Tryon,NC,OPEN,FM,55.08,NNW,ON-AIR
443.7,+5 MHz,91.5,KJ4YLO,"Walhalla, Stumphouse Mtn",SC,OPEN,FM,55.09,NW,ON-AIR
53.35,-1.0 MHz,162.2,AC4RZ,Pickens,SC,OPEN,FM,55.31,WNW,ON-AIR
145.17,-0.6 MHz,162.2 / 162.2,W4TWX,"Six Mile, Six Mile Mountian",SC,OPEN,FM,55.31,WNW,ON-AIR
146.7,-0.6 MHz,107.2,WT4F,Pickens,SC,OPEN,FM,55.31,WNW,ON-AIR
442.125,+5 MHz,,WT4F,Pickens,SC,OPEN,FM,55.31,WNW,ON-AIR
927.5125,-25 MHz,100,WB4LZT,Pickens,SC,OPEN,FM,55.31,WNW,ON-AIR
444.3875,+5 MHz,NAC 293,WD4EOG,"Clemson, Kite Hill - WSBF-FM",SC,OPEN,FM P-25,55.74,WNW,ON-AIR
145.45,-0.6 MHz,,WD4EOG,"Clemson, Clemson University",SC,OPEN,Fusion,56.19,WNW,ON-AIR
444.625,+5 MHz,156.7 / 156.7,WD4EOG,"Clemson, Clemson University",SC,OPEN,FM,56.19,WNW,ON-AIR
444.225,+5 MHz,,WD4EOG,Clemson,SC,OPEN,DSTAR,56.3,WNW,ON-AIR
147.3825,+0.6 MHz,NAC 293 123.0 / 123.0,WD4EOG,"Clemson, Kite Hill - WSBF-FM",SC,OPEN,FM P-25,56.74,WNW,ON-AIR
442.2375,+5 MHz,CC1,K4BAN,"Clemson, Clemson University",SC,OPEN,DMR,56.74,WNW,ON-AIR
147.225,+0.6 MHz,110.9 / 110.9,W4FTK,Rock Hill,SC,OPEN,FM AllStar,57.62,E,ON-AIR
224.84,-1.6 MHz,123,KB4GA,Rock Hill,SC,OPEN,FM,57.62,E,ON-AIR
440.25,+5 MHz,,W3SPC,Rock Hill,SC,OPEN,Fusion,57.62,E,ON-AIR
444.925,+5 MHz,91.5 / 91.5,W4FTK,Rock Hill,SC,OPEN,FM,57.62,E,ON-AIR
442.875,+5 MHz,D315 / D315,W4FTK,Columbia,SC,OPEN,FM AllStar EchoLink,57.71,SE,ON-AIR
145.4,-0.8 MHz,,KJ4BWK,Columbia,SC,OPEN,FM,57.87,SE,ON-AIR
147.33,+0.6 MHz,156.7 / 156.7,W4CAE,Columbia,SC,OPEN,FM,57.87,SE,ON-AIR
147.36,+0.6 MHz,100.0 / 100.0,K4HI,Columbia,SC,OPEN,FM WIRES-X,57.87,SE,ON-AIR
224.9,-1.6 MHz,,N4EOY,Columbia,SC,OPEN,FM,57.87,SE,ON-AIR
440.6125,+5 MHz,CC1,WR4SC,Columbia,SC,OPEN,DMR,57.87,SE,ON-AIR
443.2,+5 MHz,,W4CAE,Columbia,SC,OPEN,DSTAR,57.87,SE,ON-AIR
444.2,+5 MHz,CC1,N5CWH,Columbia,SC,OPEN,DMR,57.87,SE,ON-AIR
444.875,+5 MHz,91.5 / 91.5,K9OH,Columbia,SC,OPEN,FM,57.87,SE,ON-AIR
927.6375,-25 MHz,D132,N5CWH,Columbia,SC,OPEN,FM,57.87,SE,ON-AIR
1284.225,-20 MHz,,W4CAE,Columbia,SC,OPEN,DSTAR,57.87,SE,ON-AIR
443.1,+5 MHz,CC1,W4EAE,Cayce,SC,OPEN,FM DMR DSTAR Fusion,57.91,SE,ON-AIR
443.8,+5 MHz,D315 / D315,W4FTK,Rock HIll,SC,OPEN,FM AllStar EchoLink,58.17,E,ON-AIR
440.925,+5 MHz,123.0 / 123.0,AJ4NR,"York, Hylands Subdivision",SC,OPEN,FM AllStar EchoLink,58.19,NE,ON-AIR
441.875,+5 MHz,110.9,W4TWX,"Six Mile, Six Mile Mountain",SC,OPEN,FM,58.48,WNW,ON-AIR
224.1,-1.6 MHz,131.8 / 131.8,WA4SSJ,"Six Mile, Six Mile Mountain",SC,OPEN,FM,58.64,WNW,ON-AIR
441.8,+5 MHz,110.9,W4TWX,Six Mile,SC,OPEN,FM,58.64,WNW,Unknown status
442.5125,+5 MHz,CC1,WR4SC,Columbia,SC,OPEN,DMR,58.75,SE,ON-AIR
146.715,-0.6 MHz,91.5 / 91.5,WR4SC,Columbia,SC,OPEN,FM,58.75,SE,ON-AIR
441.725,+5 MHz,91.5,WR4SC,Columbia,SC,OPEN,FM,58.75,SE,ON-AIR
146.67,-0.6 MHz,114.8,K4OI,Forest City,NC,OPEN,FM,59.76,N,OFF-AIR
442,+5 MHz,114.8,AI4M,Forest City,NC,OPEN,FM,59.76,N,ON-AIR
443.3,+5 MHz,123,AI4M,"Forest City, Cherry Mountain",NC,OPEN,FM,59.76,N,ON-AIR
